,name,generation,effects,description
337,big-pecks,5,"This Pokémon's Defense cannot be lowered by other Pokémon.

This Pokémon can still be passed negative Defense modifiers through heart swap or guard swap.","Protects the Pokémon from
Defense-lowering attacks."
338,sand-rush,5,"This Pokémon's Speed is doubled during a sandstorm, and it does not take sandstorm damage, regardless of type.","Boosts the Pokémon’s
Speed in a sandstorm."
339,wonder-skin,5,Non-damaging moves have exactly 50% base accuracy against this Pokémon.,"Makes status-changing
moves more likely to miss."
340,analytic,5,"This Pokémon's moves have 1.3× their power when it moves last in a turn.

future sight and doom desire are unaffected.","Boosts move power when
the Pokémon moves last."
341,illusion,5,"This Pokémon, upon being sent out, appears to have the species, nickname, and Poké Ball of the last Pokémon in the party that is able to battle.  This illusion breaks upon being hit by a damaging move.

Other damage, e.g. from weather or spikes, does not break the illusion, nor does damage done to a substitute.

If the party order becomes temporarily shuffled around as Pokémon are switched out in battle, this ability chooses the last Pokémon according to that shuffled order.","Comes out disguised as
the Pokémon in back."
342,imposter,5,This Pokémon transforms into a random opponent upon entering battle.  This effect is identical to the move transform.,"It transforms itself into
the Pokémon it is facing."
343,infiltrator,5,"This Pokémon's moves ignore light screen, reflect, and safeguard.","Passes through the foe’s
barrier and strikes."
344,mummy,5,"Whenever a contact move hits this Pokémon, the attacking Pokémon's ability changes to Mummy.

multitype is unaffected.  If a Pokémon with moxie knocks this Pokémon out, the former's ability will change without taking effect.","Contact with this Pokémon
spreads this Ability."
345,moxie,5,"This Pokémon's Attack rises one stage upon knocking out another Pokémon, even a friendly Pokémon.

This ability does not take effect when the Pokémon indirectly causes another Pokémon to faint, e.g. through poison or spikes.

If this Pokémon knocks out a Pokémon with mummy, the former's ability will change without taking effect.","Boosts Attack after
knocking out any Pokémon."
346,justified,5,"Whenever a dark-type move hits this Pokémon, its Attack rises one stage.

The move is not negated in any way.","Raises Attack when hit by
a Dark-type move."
347,rattled,5,"This Pokémon's Speed rises one stage with each hit from a damaging dark-, ghost-, or bug-type move.","Some move types scare
it and boost its Speed."
348,magic-bounce,5,"When this Pokémon is targeted by a move flagged as being reflectable, the move is redirected to its user.

All reflectable moves are non-damaging, and most non-damaging moves that target other Pokémon are reflectable.

A move reflected by this ability or magic coat cannot be reflected back.","Reflects status-
changing moves."
349,sap-sipper,5,"Whenever a grass-type move hits this Pokémon, its Attack rises one stage, negating any other effect on it.","Boosts Attack when hit by
a Grass-type move."
350,prankster,5,This Pokémon's non-damaging moves have their priority increased by one stage.,"Gives priority to a
status move."
351,sand-force,5,"During a sandstorm, this Pokémon's rock-, ground-, and steel-type moves have 1.3× their base power.  This Pokémon does not take sandstorm damage, regardless of type.","Boosts certain moves’
power in a sandstorm."
352,iron-barbs,5,"Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum HP in damage.

This ability functions identically to rough skin.","Inflicts damage to the
Pokémon on contact."
353,zen-mode,5,"This Pokémon switches between Standard Mode and Zen Mode after each turn depending on its HP.  Below 50% of its maximum HP, it switches to Zen Mode, and at 50% or above, it switches to Standard Mode.

This Pokémon returns to Standard Mode upon leaving battle or losing this ability.  This ability has no effect if this Pokémon is not a darmanitan.","Changes the Pokémon’s
shape when HP is halved."
354,victory-star,5,"All friendly Pokémon's moves, including this Pokémon's own moves, have 1.1× their usual accuracy while this Pokémon is in battle.","Boosts the accuracy of its
allies and itself."
355,turboblaze,5,"This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to mold breaker and teravolt.","Moves can be used
regardless of Abilities."
356,teravolt,5,"This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to mold breaker and turboblaze.","Moves can be used
regardless of Abilities."
